Date/Time,DBT,WBT,RSH,RLH,W_c,P_cond,P_e,Q_e,m_r,m_s,Q_cond
 03/01  13:00:00,29.65,22.25976387,82.21626368,35.96551649,22.59422755,887.0215718,428.6108386,179.548349,1.469915942,7.9573,202.1425765
 03/01  15:00:00,29.625,22.41985341,81.4430832,36.32025923,23.11870863,886.4391402,428.0050045,183.5295215,1.502416462,7.8529,206.6482302
 03/01  16:00:00,28.975,22.17907274,83.14652475,35.96094808,21.76613411,871.3959859,428.2767037,178.5089313,1.450092829,7.9772,200.2750654
 03/01  17:00:00,27.9,21.67423756,82.82736956,35.66954161,18.92284387,846.9366744,428.7597735,164.03526,1.315835702,7.8916,182.9581038
 03/01  18:00:00,26.46666667,21.12976397,82.84311371,35.41188658,15.95338202,815.1270088,429.0156378,149.1392869,1.176953583,7.7978,165.0926689
 03/02  11:00:00,29.31666667,20.14540247,81.80933204,35.27177085,14.47679126,879.2792924,434.3954591,119.4414203,0.971883046,8.1947,133.9182116
 03/02  12:00:00,29.575,20.9581105,83.43462137,35.48474746,17.72500084,885.2751344,432.4535003,143.3730001,1.171004892,8.2671,161.098001
 03/02  13:00:00,29.81666667,21.58059046,84.93318314,35.52919886,20.42433643,890.9117615,430.9843447,162.4114256,1.331021168,8.3494,182.8357621
 03/02  15:00:00,30.6,22.18934526,84.72909442,36.21617653,23.51180727,909.3667137,429.9128563,179.4339615,1.484858479,8.3312,202.9457688
 03/02  16:00:00,30.30833333,21.98251957,86.8705838,35.7581032,22.67114656,902.4621316,430.3824178,175.7108987,1.448748091,8.537,198.3820453
 03/02  17:00:00,28.875,21.41090453,86.44456566,35.50310764,19.18519371,869.0987029,430.7097452,159.5654162,1.293505787,8.407,178.7506099
 03/02  18:00:00,26.36666667,20.61055311,84.24042239,35.18385498,14.37159827,812.9415787,430.5735451,135.9318398,1.070908678,8.0004,150.3034381
 03/03  11:00:00,29.31666667,20.14540247,82.96247889,35.29147327,14.61665345,879.2792924,434.4090483,120.6014377,0.981316965,8.3073,135.2180911
 03/03  12:00:00,29.575,20.9581105,84.53073316,35.50399644,17.85889097,885.2751344,432.4904828,144.475643,1.179994198,8.3741,162.334534
 03/03  13:00:00,29.81666667,21.58059046,85.89559252,35.5401727,20.54238472,890.9117615,431.0337477,163.3795636,1.338930128,8.4434,183.9219483
 03/03  15:00:00,30.6,22.18934526,85.49318512,36.23226176,23.60830685,909.3667137,429.9629887,180.2026078,1.491190292,8.4059,203.8109147
 03/03  16:00:00,30.30833333,21.98251957,87.47562821,35.76403554,22.74684072,902.4621316,430.4171076,176.3195436,1.45374699,8.5961,199.0663843
 03/03  17:00:00,28.875,21.41090453,87.05476368,35.50948508,19.25659977,869.0987029,430.7429183,160.1792457,1.298465457,8.4666,179.4358455
 03/03  18:00:00,26.36666667,20.61055311,84.89914758,35.19208777,14.43930974,812.9415787,430.6133823,136.5944869,1.076113429,8.0648,151.0337966
